Nome_escola,Cod_inep,Municipio_polo,Cod_ibge,Enderenco_polo,Bairro_polo,long,lat,Gee,Tipo_ensino
ESCOLA ESTADUAL MARIA ROSALIA AMBROZZIO,27038696,Maceió,2704302,AVENIDA FERNANDES LIMA,FAROL,-35.74120234,-9.640629791,13ª,Escola em tempo integral
ESCOLA ESTADUAL MARIA SALETE GUSMAO DE ARAUJO,27225674,Maceió,2704302,RUA EM PROJETO CJ OSMAM LOUREIRO,CLIMA BOM I,-35.78030503,-9.577222763,13ª,Escola em tempo integral
ESCOLA ESTADUAL MARIO GOMES DE BARROS,27029123,Joaquim Gomes,2703809,RUA PROFESSORA CICERA SANTOS MARINHO,CENTRO,-35.75324935,-9.136560717,12ª,Escola de Ensino Regular
ESCOLA ESTADUAL MARQUES DA SILVA,27011844,Belém,2700805,RUA DO COMERCIO,CENTRO,-36.49434265,-9.572996588,3ª,Escola de Ensino Regular
ESCOLA ESTADUAL MESSIAS DE GUSMAO,27032159,São Luís do Quitunde,2708501,RUA DR FERNANDO SARMENTO,CENTRO,-35.560798,-9.318861,10ª,Escola de Ensino Regular
ESCOLA ESTADUAL MISAEL GONCALVES FERREIRA,27034070,Barra de São Miguel,2700607,RUA GOVERNADOR DIVALDO SURUAGY,CENTRO,-35.90331384,-9.844639848,2ª,Escola em tempo integral
ESCOLA ESTADUAL MONSENHOR CLOVIS DUARTE DE BARROS,27024016,União dos Palmares,2709301,RUA JARDIM BRASILIA,CENTRO,-36.03226035,-9.155101862,7ª,Escola de Ensino Regular
ESCOLA ESTADUAL MONSENHOR LUIS CARLOS DE OLIVEIRA BARBOSA,27022838,Ibateguara,2703007,RUA DOUTOR OSCAR GORDILHO,CENTRO,-35.93365034,-8.974559347,7ª,Escola de Ensino Regular
ESCOLA ESTADUAL MONSENHOR MACEDO,27015068,Palmeira dos Índios,2706307,AVENIDA 15 DE NOVEMBRO,SAO CRISTOVAO,-36.63638989,-9.416578298,3ª,Escola de Ensino Regular
ESCOLA ESTADUAL MONSENHOR MACHADO,27025519,Viçosa,2709400,RUA JOAO PESSOA,COHAB,-36.24642936,-9.379855576,4ª,Escola em tempo integral
ESCOLA ESTADUAL MONSENHOR RIBEIRO VIEIRA,27014932,Palmeira dos Índios,2706307,PRACA MANOEL PEREIRA DA SILVA,PALMEIRA DE FORA,-36.65853539,-9.402479384,3ª,Escola em tempo integral
ESCOLA ESTADUAL MONSENHOR SEBASTIAO ALVES BEZERRA,27000095,Água Branca,2700102,RUA JOAO PAULO II,CENTRO,-37.93765352,-9.26572447,11ª,Escola em tempo integral
